status,problem,source
105,105A - Transmigration,"from  collections  import   Counter n ,  m ,  k  =  input (). split () k ,  c  =  int ( k . split ( '.' )[ 1 ]),   Counter () for  i  in  range ( int ( n )):     s ,  e  =  input (). split ()     e  =  int ( e )   *  k  //   100      if  e  >=   100 :         c [ s ]   =  e for  i  in  range ( int ( m )):     c [ input ()]   +=   0 print ( len ( c )) print ( '\n' . join ( sorted ( x  +   ' '   +  str ( c [ x ])   for  x  in  c )))"
106,106A - Card Game,"t = '6789TJQKA' I = input s = I () x = I () print ([ 'NO' , 'YES' ][ x [ 1 ]== s  and  x [ 4 ]!= s  or  x [ 1 ]== x [ 4 ] and  t . find ( x [ 0 ])> t . find ( x [ 3 ])])"
107,107A - Dorm Water Supply,"import  math n , p  =  map ( int ,  input (). split ()) g  =   [[- 1 ,- 1 ]   for  _  in  range ( n + 1 )] t  =  set ( range ( 1 ,  n + 1 )) for  i  in  range ( p ):     a , b , d  = map ( int ,  input (). split ())     g [ a ]   =   [ b ,  d ]     t . remove ( b ) ans  =   [] for  tt  in  t :     c  =  g [ tt ][ 0 ]     m  =  g [ tt ][ 1 ]      while  g [ c ][ 0 ]   !=   - 1 :         m  =  min ( m ,  g [ c ][ 1 ])         c  =  g [ c ][ 0 ]      if  m  >   - 1 :         ans . append ( '%i %i %i'   %   ( tt , c , m )) print ( len ( ans )) if  len ( ans )   !=   0 :      print ( '\n' . join ( ans ))"
108,108A - Palindromic Times,"h , m = map ( int , input (). split ( ':' )) m += h * 60 while   1 :   m =( m + 1 )% 1440      r = f '{m//60:02}:{m%60:02}'    if  r == r [::- 1 ]:      print ( r )      break"
109,109A - Lucky Sum of Digits,"n = int ( input ()) a , b = n // 7 , n % 7 c , d = b // 4 , b % 4 print (- 1if  a < d  else '4' *( c + 2 * d )+ '7' *( a - d ))"
110,110A - Nearly Lucky Number,"print ( 'NYOE S' [ sum ( i  in '47' for  i  in  input ()) in ( 4 , 7 ):: 2 ])"
111,111A - Petya and Inequiations,"n , x , y = map ( int , input (). split ()) n -= 1 t = y - n print ([ '1\n' * n + str ( t ),- 1 ][ t < 1   or  t * t + n < x ])"
112,112A - Petya and Strings,i = input ; a = i (). lower (); b = i (). lower () print (( a > b )-( a < b ))
113,113A - Grammar Lessons,"import  re t  =  input () p  =   [ r '([^ ]*lios )*([^ ]*etr)( [^ ]*initis)*' ,      r '([^ ]*liala )*([^ ]*etra)( [^ ]*inites)*' ,      r '[^ ]*(li(os|ala)|etra?|init[ie]s)' ] print ([ 'NO' ,   'YES' ][ any ( re . fullmatch ( q ,  t )   for  q  in  p )])"
114,114A - Cifera,"I = input k = int ( I ()) l = int ( I ()) r = 1 while  k ** r < l : r += 1 print ([ 'NO' , 'YES\n' + str ( r - 1 )][ k ** r == l ])"
115,115A - Party,"n  =  int ( input ()) p  =   [ int ( input ())   for  _  in  range ( n )] r  =   0 for  i  in  range ( n ): 	c  =   0 	 while  i  >=   0 : 		i  =  p [ i ]   -   1 		c  +=   1 	r  =  max ( r ,  c ) print ( r )"
116,116A - Tram,"a = p = 0 for  x  in [ 0 ]* int ( input ()): p -= eval ( input (). replace ( ' ' , '-' )); a = max ( a , p ) print ( a )"
117,117A - Elevator,"n ,  m  =  map ( int ,  input (). split ()) k  =   2   *   ( m  -   1 ) for  i  in  range ( n ):     s ,  f ,  t  =  map ( int ,  input (). split ())     d  =  t  %  k      if  s  <  f :   print ( k  *   ( s  <=  d )   +  f  -   1   +  t  -  d )      elif  f  <  s :   print ( k  *   ( d  +  s  >  k  +   1 )   +  k  +   1   -  f  +  t  -  d )      else :   print ( t )"
118,118A - String Task,print ( '' . join ( '.' + x  for  x  in  input (). lower ()   if  x  not   in 'aeyoui' ))
119,119A - Epic Game,"from  math  import  gcd * a , n = map ( int , input (). split ()) p = 1 while  n : p ^= 1 ; n -= gcd ( a [ p ], n ) print ( '01' [ p ])"
120,120A - Elevator,"import  sys sys . stdin = open ( 'input.txt' , 'r' ) sys . stdout = open ( 'output.txt' , 'w' ) print ([ 'L' , 'R' ][( input ()== 'front' )^( input ()== '1' )])"
121,121A - Lucky Sum,"l , r = map ( int , input (). split ())   a =[] def  foo ( n ): 	a . append ( n ) 	 if  n > 10 * r : 		 return 	foo ( 10 * n + 4 ) 	foo ( 10 * n + 7 ) 	 return   foo ( 0 ) a . sort ()   def  get_sum ( m ): 	s = 0 	 for  i  in  range ( 1 , len ( a )): 		s += a [ i ]*( min ( a [ i ], m )- min ( a [ i - 1 ], m )) 	 return  s   print ( get_sum ( r )- get_sum ( l - 1 ))  "
122,122A - Lucky Division,"n = int ( input ()); print ([ ""YES"" , ""NO"" ][ all ( n % i  for  i  in [ 4 , 7 , 47 , 744 , 477 ])])"
123,123A - Prime Permutation,"from  collections  import   Counter   d ,  t  =   'NO' ,  input () c ,  n  =   Counter ( t ),  len ( t ) p  =   [ 0 ]   *   ( n  +   1 ) for  i  in  range ( 2 ,  n  //   2   +   1 ):      if   1   -  p [ i ]:  p [ i :: i ]   =   [ 1 ]   *   ( n  //  i ) s  =  sum ( p ) u  =  v  =   '' for  q ,  k  in  c . items ():      if  v  or  k  <  s :         u  +=  q  *  k      else :         u  +=  q  *   ( k  -  s )         v  =  q if  v :     d ,  j  =   'YES\n' ,   0      for  i  in  range ( 1 ,  n  +   1 ):          if  p [ i ]:             d  +=  v          else :             d  +=  u [ j ]             j  +=   1 print ( d )"
124,124A - The number of positions,"n , a , b = map ( int , input (). split ()); print ( min ( n - a , b + 1 ))"
125,125A - Measuring Lengths in Baden,"n =( int ( input ())+ 1 )// 3 print ( n // 12 , n % 12 )"
127,127A - Wasted Time,"I = lambda : map ( int , input (). split ()) n , k = I () a =[[* map ( int , input (). split ())] for  _  in [ 0 ]* n ] r = 0 for  u , v  in  zip ( a , a [ 1 :]):   r +=(( u [ 0 ]- v [ 0 ])** 2 +( u [ 1 ]- v [ 1 ])** 2 )** 0.5 print ( r * k / 50 )"
128,128A - Statues,"r ,  s  =   [ 63 ],   '' . join ( input ()   +   'T'   for  i  in  range ( 8 ))   +   'T'   *   9 for  i  in  range ( 0 ,   72 ,   9 ):     t  =  set ()      for  x  in  r :          for  y  in   ( x ,  x  -   1 ,  x  +   1 ,  x  -   9 ,  x  +   9 ,  x  -   10 ,  x  -   8 ,  x  +   10 ,  x  +   8 ):              if  s [ y ]   ==   'T' :   continue              if   ( y  <  i  or  s [ y  -  i ]   !=   'S' )   and   ( y  <  i  +   9   or  s [ y  -  i  -   9 ]   !=   'S' ):  t . add ( y )     r  =  t print ( 'WIN'   if  r  else   'LOSE' )"
129,129A - Cookies,input () a =[ int ( x )% 2   for  x  in  input (). split ()] print ( a . count ( sum ( a )% 2 ))
131,131A - cAPS lOCK,"n = input (); print ([ n , n . swapcase ()][ n [ 1 :]. upper ()== n [ 1 :]])"
132,132A - Turing Tape,"s  =  input ()   e  =   0 for  i  in  s : 	a  =  ord ( i ) 	b  =  format ( a , '08b' ) 	c  =  str ( b )[::- 1 ] 	d  =  int ( c ,   2 ) 	 print   (( e - d )% 256 ) 	e  =  d"
133,133A - HQ9+,"print ( set ( ""HQ9"" )& set ( input ()) and ""YES"" or ""NO"" )"
134,134A - Average Numbers,"n ,  t  =  int ( input ()),  list ( map ( int ,  input (). split ())) s  =  sum ( t ) p  =   [ i  +   1   for  i  in  range ( n )   if  t [ i ]   *  n  ==  s ] print ( len ( p )) print ( ' ' . join ( map ( str ,  p )))"
135,135A - Replacement,"input () a  =  sorted ( list ( map ( int ,  input (). split ()))) print (*(* a [:- 1 ],   2 )   if  a [- 1 ]   ==   1   else   ( 1 ,   * a [:- 1 ]))"
136,136A - Presents,k = int ( input ()) a = input (). split () for  i  in  range ( k ): 	 print ( a . index ( str ( i + 1 ))+ 1 )
137,137A - Postcards and photos,"from  itertools  import  groupby   print ( sum (-(- len ( list ( g ))// 5 )   for  _ ,  g  in  groupby ( input ())))"
138,138A - Literature Lesson,"def  s ( l ,  k ):     v  =   0      for  i  in  range ( len ( l )   -   1 ,   - 1 ,   - 1 ):          if  l [ i ]   in   'aeiou' :             v  +=   1              if  v  ==  k :                  return  l [ i :]      return   '' def  f ( q ):      if   ''   in  q :          return   'NO'      elif  q [ 0 ]   ==  q [ 1 ]:          if  q [ 2 ]   ==  q [ 3 ]:              return   'aaaa'   if  q [ 1 ]   ==  q [ 2 ]   else   'aabb'          else :              return   'NO'      elif  q [ 0 ]   ==  q [ 2 ]   and  q [ 1 ]   ==  q [ 3 ]:          return   'abab'      elif  q [ 0 ]   ==  q [ 3 ]   and  q [ 1 ]   ==  q [ 2 ]:          return   'abba'      else :          return   'NO' n ,  k  =  map ( int ,  input (). split ()) v  =   '' for  i  in  range ( n ):     c  =  f ([ s ( input (),  k )   for  i  in  range ( 4 )])      if  c  ==   'NO' :         v  =  c          break      elif  v  and  c  in   ( v ,   'aaaa' ):          pass      elif  v  in   ( '' ,   'aaaa' ):         v  =  c      else :         v  =   'NO'          break print ( v )"
139,139A - Petr and Book,n = int ( input ()) x =[ int ( q )   for  q  in  input (). split ()] i = 0 while  n > x [ i ]:     n -= x [ i ]     i =( i + 1 )% 7 print ( i + 1 )
140,140A - New Year Table,"from  math  import  pi ,  sin n ,  R ,  r  =  map ( int ,  input (). split ()) print ( 'NO'   if  r  >  R  or   ( n  >   1   and   (( R  -  r )   *  sin ( pi  /  n )   +   1e-9 )   <  r )   else   'YES' )"
141,141A - Amusing Joke,"s , i = sorted , input ; print ( 'YNEOS' [ s ( i ()+ i ())!= s ( i ()):: 2 ])"
142,142A - Help Farmer,"n  =  int ( input ()) u  =  v  =   9   +   8   *  n for  a  in  range ( 1 ,  int ( n  **   ( 1   /   3 ))   +   1 ):      if  n  %  a :   continue     m  =  n  //  a      for  b  in  range ( a ,  int ( m  **   0.5 )   +   1 ):          if  m  %  b :   continue         p  =   ( a  +   1 )   *   ( b  +   2 )   *   ( m  //  b  +   2 )   -  n          if  u  >  p :  u  =  p print ( u ,  v )"
143,143A - Help Vasilisa the Wise 2,"r1 , r2 = map ( int , input (). split ()) c1 , c2 = map ( int , input (). split ()) d1 , d2 = map ( int , input (). split ())   x =( d1 + c1 - r2 )// 2 y = r1 - x z = c1 - x w = d1 - x if   1 <= x <= 9   and   1 <= y <= 9   and   1 <= z <= 9   and   1 <= w <= 9   and  len ( set ([ x , y , z , w ]))== 4 : 	 print ( x , y ) 	 print ( z , w ) else : 	 print (- 1 )"
144,144A - Arrival of the General,"n = int ( input ()); l = list ( map ( int , input (). split ())) s = l . index ( max ( l ))+ l [::- 1 ]. index ( min ( l )) print ( s -( s >= n ))"
145,145A - Lucky Conversion,"a , b = 0 , 0 for  i , j  in  zip ( input (), input ()):      if  i != j :          if  i == '4' : a += 1 ;          else : b += 1 ; print ( max ( a , b ))"
146,146A - Lucky Ticket,n = int ( input ()) a = input () print ( 'YNEOS' [ any ( x  not   in '47' for  x  in  a ) or  sorted ( a [: n // 2 ])!= sorted ( a [ n // 2 :]):: 2 ])
147,147A - Punctuation,"import  re   s  =  input (). strip () s  =  re . sub ( '\s+' ,   ' ' ,  s ) s  =  re . sub ( '\s?([.,!?])\s?' ,   '\\1 ' ,  s ) print ( s )"
148,148A - Insomnia cure,"* k , d =[ int ( input ()) for  i  in ' ' * 5 ]; print ( d - sum ( all ( i % x  for  x  in  k ) for  i  in  range ( 1 , d + 1 )))"
149,149A - Business trip,"k = int ( input ()) m = sorted ( map ( int , input (). split ()))[::- 1 ] for  i  in  range ( 13 ):   if  sum ( m [: i ])>= k :    print ( i )   exit ( 0 ) print (- 1 )"
150,150A - Win or Freeze,n = int ( input ()) x = n v1 = 0 v2 = 0 i = 2 while  i * i <= n :      while  n % i == 0 :          if  v1 :             v2 = i          else :             v1 = i         n //= i     i += 1   if  n - 1 :     v2 = n   if  v1 * v2 - x :      print ( 1 )      print ( v1 * v2 ) else :      print ( 2 )
151,151A - Soft Drinking,"n , k , l , c , d , p , a , b = map ( int , input (). split ()) print ( min ( k * l // a , c * d , p // b )// n )"
152,152A - Marks,"n ,  m  =  map ( int ,  input (). split ()) r  =   [ input ()   for  _  in  range ( n )] table  =   [ max ( i )   for  i  in  zip (* r )] print ( sum ( any ( i [ idx ]   ==  table [ idx ]   for  idx  in  range ( m ))   for  i  in  r ))"
154,154A - Hometask,"p ,  t  =   {},  input () a ,  n  =   False ,  len ( t ) x  =  y  =  s  =   0 q  =   [ input ()   for  i  in  range ( int ( input ()))] for  a ,  b  in  q :  p [ a ],  p [ b ]   =  b ,  a for  i  in  t :      if  a :          if  i  ==  a :  x  +=   1          elif  i  ==  b :  y  +=   1          else :             s  +=  min ( x ,  y )              if  i  in  p :                 a ,  b  =  i ,  p [ i ]                 x ,  y  =   1 ,   0              else :  a  =   False      elif  i  in  p :                  a ,  b  =  i ,  p [ i ]         x ,  y  =   1 ,   0 if  a :  s  +=  min ( x ,  y ) print ( s )"
155,155A - I_love_\%username\%,"n = int ( input ()) a = list ( map ( int , input (). split ())) x = a [: 1 ] for  i  in  a : 	n -= min ( x )<= i <= max ( x ) 	x +=[ i ] print ( n )"
156,156A - Message,"s ,  u  =  input (),  input () t  =   [ 0 ]   *  len ( s ) p  =   { i :   []   for  i  in   'abcdefghijklmnopqrstuvwxyz' } for  i ,  j  in  enumerate ( s ):  p [ j ]. append ( i ) for  j  in  u :      for  i  in  p [ j ]:  t [ i ]   +=   1     t  =   [ 0 ]   +  t print ( len ( u )   -  max ( t ))"
157,157A - Game Outcome,"A  =   [ list ( map ( int ,  input (). split ()))   for  _  in  range ( int ( input ()))]   print ( sum ( h < v  for  h  in  map ( sum ,  A )   for  v  in  map ( sum ,  zip (* A ))))"
158,158A - Next Round,"i = lambda : map ( int , input (). split ()); n , k = i (); l = list ( i ()); print ( sum ( v >= max ( 1 , l [ k - 1 ]) for  v  in  l ))"
159,159A - Friends or Not,"def  readln ():   return  tuple ( map ( int ,  input (). split ()))   n ,  d  =  readln () a  =   [] b  =   [] for  _  in  range ( n ):     p ,  q ,  t  =  input (). split ()     t  =  int ( t )      if  p  >  q :         a . append (( p ,  q ,  t ))      else :         b . append (( q ,  p ,  t )) ans  =  set () for  p ,  q ,  t  in  a :      for  p1 ,  q1 ,  t1  in  b :          if  p  ==  p1  and  q  ==  q1  and   0   <  abs ( t  -  t1 )   <=  d :             ans . add ( p  +   ' '   +  q ) print ( len ( ans )) print ( '\n' . join ( ans ))"
160,160A - Twins,"input (); a = sorted ( map ( int , input (). split ())); s = c = 0 while  s <= sum ( a ): s += a . pop (); c += 1 print ( c )"
161,161A - Dress'em in Vests!,"I  =   lambda :  list ( map ( int ,  input (). split ())) n ,  m ,  x ,  y  =  I () a ,  b  =  I (),  I () l  =   [] j  =   0 for  i  in  range ( n ):      while  j  <  m  and  b [ j ]   <=  a [ i ]   +  y :          if  a [ i ]   -  x  <=  b [ j ]:             j  +=   1             l  +=   [( i  +   1 ,  j )]              break         j  +=   1 print ( len ( l )) for  i ,  j  in  l :      print ( i ,  j )"
165,165A - Supercentral Point,"a =[[* map ( int , input (). split ())] for  _  in [ 0 ]* int ( input ())] c = lambda  a , b :( a > b )-( a < b ) print ( sum ( len ({( c ( x , X ), c ( y , Y )) for  x , y  in  a  if  x == X  or  y == Y })> 4   for  X , Y  in  a ))"
166,166A - Rank List,"I  =   lambda :  map ( int ,  input (). split ())   n ,  k  =  I () A  =  sorted (( tuple ( I ())   for  _  in  range ( n )),  key = lambda  x :   (- x [ 0 ],  x [ 1 ]))   print ( A . count ( A [ k - 1 ]))"
167,167A - Wizards and Trolleybuses,"n ,  a ,  d  =  map ( int ,  input (). split ()) p  =   [ 0 ]   *  n for  i  in  range ( n ):     t ,  v  =  map ( int ,  input (). split ())     x  =  v  /  a     y  =   ( 2   *  d  /  a )   **   0.5     p [ i ]   =  t  +  y  if  y  <  x  else  t  +  d  /  v  +  x  /   2     p [ i ]   =  max ( p [ i  -   1 ],  p [ i ]) print ( '\n' . join ( map ( str ,  p )))"
168,168A - Wizards and Demonstration,"n , x , y = map ( int , input (). split ()) print ( max ( 0 ,( 0 -- n * y // 100 )- x ))"
169,169A - Chores,"i = lambda : map ( int , input (). split ()) * _ , b = i () c = sorted ( i ()) print ( c [ b ]- c [ b - 1 ])"
171,171A - Mysterious numbers - 1,"a , b = input (). split () print ( int ( a )+ int ( b [::- 1 ]))"
172,172A - Phone Code,"j ,  n  =   0 ,  int ( input ()) t  =   [ input ()   for  i  in  range ( n )] while  len ( set ( i [ j ]   for  i  in  t ))   ==   1 :  j  +=   1 print ( j )"
173,173A - Rock-Paper-Scissors,"f  =   lambda  x ,  y  :   0   if  x  +  y  ==   'RS'   or  x  +  y  ==   'SP'   or  x  +  y  ==   'PR'   else   1   if  x  ==  y  else   2 n  =  int ( input ()) * s ,   =  input () * t ,   =  input () m ,  k ,  res  =  len ( s ),  len ( t ),   [ 0 ]   *   3 for  i  in  range ( m  *  k ): 	 if  i  <  n : 		res [ f ( s [ i  %  m ],  t [ i  %  k ])]   +=   ( n  -   1   -  i )   //   ( m  *  k )   +   1 print ( res [ 2 ],  res [ 0 ])"
174,174A - Problem About Equation,"I = lambda : map ( int , input (). split ()) P = print n , b = I () a = list ( I ()) x =( b + sum ( a ))/ n if  any ( i > x  for  i  in  a ): P (- 1 ) else :[ P ( x - i ) for  i  in  a ]"
175,175A - Robot Bicorn Attack,"s = input () a =- 1 for  i  in  range ( 1 , len ( s )): 	 for  j  in  range ( i + 1 , len ( s )): 		x =[ s [: i ], s [ i : j ], s [ j :]] 		 if  sum ( map ( lambda  s :( len ( s )< 2or  s [ 0 ]!= '0' ) and  int ( s )<= 10 ** 6 ,[ s [: i ], s [ i : j ], s [ j :]]))== 3 : a = max ( a , sum ( map ( int , x ))) print ( a )"
176,176A - Trading Business,"I = lambda : map ( int , input (). split ()) R = range n , m , k = I () def  r ( a , b , c = k ): 	q = 0 	 for  a , b  in  sorted (( b [ i ][ 1 ]- a [ i ][ 0 ], a [ i ][ 2 ]) for  i  in  R ( m ))[::- 1 ]: 		 if  a < 1or  c < 1 : break 		q += a * min ( b , c ); c -= b 	 return  q w =[] for  _  in   '0' * n : I (); w +=[[ list ( I ()) for  _  in   '0' * m ]] print ( max ( r ( w [ i ], w [ j ]) for  i  in  R ( n ) for  j  in  R ( n )))"
180,180A - Defragmentation,"import  sys n ,  m ,   * inp  =  map ( int ,  sys . stdin . read (). split ())   inp . reverse () f  =   [[ 0   for  x  in  range ( 201 )]   for  y  in  range ( 201 )]       #2D Array c  =   [( 0 , 0 )]* 201 f_size  =   [ 0 ]* 201   def  putData ( f_id ,  s_id ,  c_id ):      global  f ,  c     f [ f_id ][ s_id ]   =  c_id     c [ c_id ]   =   ( f_id ,  s_id )   for  f_id  in  range ( 1 ,  m + 1 ):     f_size [ f_id ]   =  inp . pop ()      for  s_id  in  range ( 1 ,  f_size [ f_id ]+ 1 ):         c_id  =  inp . pop ()         putData ( f_id ,  s_id ,  c_id )   e_id  =  c [ 1 :]. index (( 0 , 0 ))+ 1 next_id  =   1 op  =   []   for  f_id  in  range ( 1 ,  m + 1 ):      for  s_id  in  range ( 1 ,  f_size [ f_id ]+ 1 ):          if  c [ next_id ]==( f_id ,  s_id ):             next_id  +=   1              continue          if  c [ next_id ]   !=   ( 0 ,   0 ):             op . append (( next_id ,  e_id ))             putData ( c [ next_id ][ 0 ],  c [ next_id ][ 1 ],  e_id )         e_id  =  f [ f_id ][ s_id ]         c [ e_id ]   =   ( 0 , 0 )         op . append (( e_id ,  next_id ))         putData ( f_id ,  s_id ,  next_id )         next_id  +=   1   print ( len ( op )) for  p  in  op :      print ( ""%d %d""   %  p )  "
181,181A - Series of Crimes,"r = int ( input (). split ()[ 0 ]) x = y = 0 for  i  in  range ( r ):    for  j , v  in  enumerate ( input ()):      if  v == '*' :  x ^= j ; y ^= i print ( y + 1 , x + 1 )"
183,183A - Headquarters,"n  =  int ( input ()) r  =   1 ;  c  =   1 for  i  in  range ( n ):     s  =  input ()      if   ( len ( s )   ==   4 ):         r  +=   1 ;  c  +=   1      elif ( s  ==   ""UL""   or  s  ==   ""DR"" ):         r  +=   1      else :         c  +=   1 print ( r  *  c )"
185,185A - Plant,"n , m = int ( input ()), 1000000007 n = pow ( 2 , n , m ) print (((( n % m )*(( n + 1 )% m ))// 2 )% m )"
186,186A - Comparing Strings,"from  collections  import   Counter a = input () b = input () print ( 'YNEOS' [ Counter ( a )!= Counter ( b )   or  sum ( i != j  for  i , j  in  zip ( a , b ))> 2 :: 2 ])"
187,187A - Permutations,"n  =  int ( input ()) a ,  b  =  list ( map ( int ,  input (). split ())),  list ( map ( int ,  input (). split ())) i  =  j  =   0 while  i  <  n  and  j  <  n :      if  b [ j ]   ==  a [ i ]:  i  +=   1     j  +=   1 print ( n  -  i )"
189,189A - Cut Ribbon,"n , a , b , c = map ( int , input (). split ()) z =[ 0 ]+[- 1e9 ]* 5000 for  i  in  range ( 1 , n + 1 ): z [ i ]= max ( z [ i - a ], z [ i - b ], z [ i - c ])+ 1 print ( z [ n ])"
190,190A - Vasya and the Bus,"n ,  m  =  map ( int ,  input (). split ()) print (*[[ n + m - min ( m ,  n ),   [ n , m + n - 1 ][ m > 0 ]],[ 'Impossible' ]][ n == 0   and  m > 0 ])"
192,192A - Funky Numbers,"T  =   { k *( k + 1 )// 2   for  k  in  range ( 1 , 44721 )}   n  =  int ( input ())   print ( 'YES'   if  any ( n - t  in  T  for  t  in  T )   else   'NO' )"
194,194A - Exams,"n , k = map ( int , input (). split ()) print ( max ( n * 3 - k , 0 ))"
195,195A - Let's Watch Football,"a , b , c = map ( int , input (). split ()) print ( 0 --( a * c )// b - c )"
196,197C - Lexicographically Maximum Subsequence,"a , b , c = map ( int , input (). split ()) print ( 0 --( a * c )// b - c )"
197,197A - Plate Game,"a , b , r = map ( int , input (). split ()) print ([ ""First"" , 'Second' ][ a < 2 * r  or  b < 2 * r ])"
198,198A - About Bacteria,"k ,  b ,  n ,  t  =  map ( int ,  input (). split ()) z  =  int ( 1 ) res  =  int ( n )   for  i  in  range ( n ): 	z  =  k * z  +  b 	 if  z  <=  t : 		res  -=   1 	 else : 		 break   print ( res )"
199,199A - Hexadecimal's theorem,"print ( input (), 0 , 0 )"
201,201A - Clear Symmetry,"x  =  int ( input ()) print ( 5   if  x == 3   else   [ i  for  i  in  range ( 1 ,   17 ,   2 )   if  i * i + 1 >= 2 * x ][ 0 ])"
202,202A - LLPS,z = input (); j = max ( z ); print ( z . count ( j )* j )
203,203A - Two Problems,"x , t , a , b , c , d = map ( int , input (). split ()) R = range ( t ) y = x == 0 for  i  in  R : 	 if  x == a - c * i  or  x == b - d * i : y = 1 	 for  j  in  R : y |= x == a + b - c * i - d * j print ([ 'NO' , 'YES' ][ y ])"
